Senioridade,Área funcional,Porte da organização,Setor de atuação,Tempo de iniciativa formal,Maturidade: integração e consolidação de dados,Maturidade: governança e curadoria de dados,Maturidade: gestão da qualidade de dados,Maturidade: segurança e conformidade de dados,Maturidade: acessibilidade e democratização de dados,Maturidade: gestão e catalogação de metadados,Maturidade: operacionalização de IA/ML,Maturidade: analytics de autoatendimento,Maturidade: gestão de produtos de dados,Arquitetura da plataforma de dados,Modelo operacional da organização de dados,Preparação para IA Generativa,Tendência do investimento,Direcionador estratégico do investimento,Definição de prioridades,Estimativa de investimento anual,Importância: valor de negócio esperado,Importância: conformidade regulatória,Importância: potencial de redução de custos,Importância: habilitação de IA/analytics,Importância: patrocínio executivo,Importância: viabilidade técnica,Importância: melhoria da qualidade dos dados,Importância: urgência das áreas de negócio,Importância: otimização de nuvem/infraestrutura,Importância: necessidades de governança e padronização,Percepção de ROI,Alinhamento entre expectativa e valor entregue,Desafio: técnico,Desafio: relacionado aos dados,Desafio: financeiro,Desafio: processo e governança,Desafio: pessoas e cultura,Foco futuro da Data Foundation
Gerente / Gerente sênior,Dados e analytics,Mais de 10.000 funcionários,Serviços de alimentação,De 1 a 3 anos,4 (Gerenciado),3 (Definido),3 (Definido),3 (Definido),2 (Em desenvolvimento),2 (Em desenvolvimento),2 (Em desenvolvimento),2 (Em desenvolvimento),2 (Em desenvolvimento),Data Lakehouse,Modelo híbrido,2 (Pouco preparado),Crescimento leve,Ofensivo (criação de novo valor),"Centralmente, por equipe dedicada",De €2 milhões a €10 milhões,5 (Extremamente importante),4 (Muito importante),3 (Neutro),3 (Neutro),5 (Extremamente importante),3 (Neutro),5 (Extremamente importante),4 (Muito importante),3 (Neutro),4 (Muito importante),Neutro,Amplamente alinhado,3 (Neutro),4 (Desafiador),3 (Neutro),4 (Desafiador),5 (Grande desafio),Fortalecimento da governança e da qualidade
Líder de equipe / Coordenador,Dados e analytics,Mais de 10.000 funcionários,Manufatura / Industrial,Mais de 5 anos,2 (Em desenvolvimento),3 (Definido),2 (Em desenvolvimento),3 (Definido),2 (Em desenvolvimento),2 (Em desenvolvimento),3 (Definido),3 (Definido),2 (Em desenvolvimento),Data Lake,Data mesh / orientado a domínios,2 (Pouco preparado),Estável,Equilibrado (ofensivo + defensivo),"Centralmente, por equipe dedicada",Não sei / não informado,4 (Muito importante),5 (Extremamente importante),3 (Neutro),4 (Muito importante),4 (Muito importante),3 (Neutro),3 (Neutro),4 (Muito importante),3 (Neutro),4 (Muito importante),Cedo demais para medir / não sei,Um pouco abaixo,5 (Grande desafio),5 (Grande desafio),3 (Neutro),5 (Grande desafio),3 (Neutro),Fortalecimento da governança e da qualidade
Analista / Especialista / Engenheiro,Finanças,Mais de 10.000 funcionários,Biotecnologia,Mais de 5 anos,5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),4 (Gerenciado),5 (Otimizado),,,,Estável,Equilibrado (ofensivo + defensivo),"Centralmente, por equipe dedicada",Não sei / não informado,3 (Neutro),5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),3 (Neutro),5 (Extremamente importante),5 (Extremamente importante),3 (Neutro),5 (Extremamente importante),5 (Extremamente importante),Concordo totalmente,Superou as expectativas,3 (Neutro),3 (Neutro),3 (Neutro),3 (Neutro),3 (Neutro),Ampliação da integração de dados
VP / Executivo C-level,RH,Mais de 10.000 funcionários,Saúde / Farmacêutico,De 3 a 5 anos,3 (Definido),2 (Em desenvolvimento),2 (Em desenvolvimento),3 (Definido),3 (Definido),3 (Definido),3 (Definido),4 (Gerenciado),1 (Nascente),Data Mesh,Data mesh / orientado a domínios,3 (Moderadamente preparado),Crescimento leve,Ofensivo (criação de novo valor),"Centralmente, por equipe dedicada",Mais de €10 milhões,4 (Muito importante),5 (Extremamente importante),3 (Neutro),5 (Extremamente importante),3 (Neutro),4 (Muito importante),4 (Muito importante),3 (Neutro),3 (Neutro),4 (Muito importante),Concordo,Amplamente alinhado,4 (Desafiador),3 (Neutro),3 (Neutro),4 (Desafiador),4 (Desafiador),Suporte a plataformas de IA Generativa
Gerente / Gerente sênior,Marketing e vendas,Até 500 funcionários,Tecnologia / Software,De 3 a 5 anos,4 (Gerenciado),3 (Definido),4 (Gerenciado),5 (Otimizado),3 (Definido),3 (Definido),4 (Gerenciado),4 (Gerenciado),4 (Gerenciado),Data Lakehouse,Modelo híbrido,4 (Bem preparado),Crescimento significativo,Ofensivo (criação de novo valor),Comitê diretivo multifuncional,De €100 mil a €500 mil,5 (Extremamente importante),5 (Extremamente importante),4 (Muito importante),5 (Extremamente importante),4 (Muito importante),4 (Muito importante),5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),Concordo totalmente,Amplamente alinhado,3 (Neutro),3 (Neutro),4 (Desafiador),4 (Desafiador),3 (Neutro),Fortalecimento da governança e da qualidade
Líder de equipe / Coordenador,Dados e analytics,Mais de 10.000 funcionários,Saúde / Farmacêutico,De 3 a 5 anos,4 (Gerenciado),2 (Em desenvolvimento),2 (Em desenvolvimento),4 (Gerenciado),3 (Definido),2 (Em desenvolvimento),1 (Nascente),1 (Nascente),3 (Definido),Data Mesh,Data mesh / orientado a domínios,3 (Moderadamente preparado),Crescimento leve,Equilibrado (ofensivo + defensivo),Sem processo formal,De €500 mil a €2 milhões,5 (Extremamente importante),5 (Extremamente importante),4 (Muito importante),4 (Muito importante),5 (Extremamente importante),5 (Extremamente importante),4 (Muito importante),4 (Muito importante),4 (Muito importante),4 (Muito importante),Neutro,Amplamente alinhado,3 (Neutro),3 (Neutro),3 (Neutro),5 (Grande desafio),5 (Grande desafio),Fortalecimento da governança e da qualidade
Gerente / Gerente sênior,Serviços digitais,Até 500 funcionários,Saúde / Farmacêutico,Mais de 5 anos,3 (Definido),3 (Definido),2 (Em desenvolvimento),1 (Nascente),3 (Definido),2 (Em desenvolvimento),2 (Em desenvolvimento),2 (Em desenvolvimento),2 (Em desenvolvimento),Data Lakehouse,Equipe de dados centralizada,1 (Não preparado),Crescimento significativo,Equilibrado (ofensivo + defensivo),"Centralmente, por equipe dedicada",De €100 mil a €500 mil,5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),3 (Neutro),5 (Extremamente importante),2 (Pouco importante),2 (Pouco importante),2 (Pouco importante),1 (Nada importante),1 (Nada importante),Concordo totalmente,Amplamente alinhado,3 (Neutro),4 (Desafiador),5 (Grande desafio),5 (Grande desafio),5 (Grande desafio),Melhoria do autosserviço analítico
Analista / Especialista / Engenheiro,Marketing e vendas,Mais de 10.000 funcionários,Tecnologia / Software,Mais de 5 anos,3 (Definido),2 (Em desenvolvimento),3 (Definido),4 (Gerenciado),2 (Em desenvolvimento),2 (Em desenvolvimento),2 (Em desenvolvimento),2 (Em desenvolvimento),2 (Em desenvolvimento),Arquitetura híbrida,Modelo híbrido,3 (Moderadamente preparado),Crescimento leve,Equilibrado (ofensivo + defensivo),Comitê diretivo multifuncional,De €2 milhões a €10 milhões,5 (Extremamente importante),4 (Muito importante),4 (Muito importante),3 (Neutro),4 (Muito importante),5 (Extremamente importante),3 (Neutro),4 (Muito importante),3 (Neutro),3 (Neutro),Concordo totalmente,Amplamente alinhado,2 (Pouco desafiador),4 (Desafiador),2 (Pouco desafiador),4 (Desafiador),4 (Desafiador),Ampliação da integração de dados
Gerente / Gerente sênior,Dados e analytics,De 501 a 2.000 funcionários,Tecnologia / Software,De 1 a 3 anos,3 (Definido),4 (Gerenciado),3 (Definido),4 (Gerenciado),4 (Gerenciado),3 (Definido),2 (Em desenvolvimento),3 (Definido),2 (Em desenvolvimento),Data Lake,Modelo híbrido,3 (Moderadamente preparado),Crescimento significativo,Equilibrado (ofensivo + defensivo),Comitê diretivo multifuncional,De €500 mil a €2 milhões,5 (Extremamente importante),4 (Muito importante),3 (Neutro),5 (Extremamente importante),4 (Muito importante),3 (Neutro),5 (Extremamente importante),2 (Pouco importante),4 (Muito importante),5 (Extremamente importante),Discordo totalmente,Amplamente alinhado,4 (Desafiador),5 (Grande desafio),3 (Neutro),4 (Desafiador),5 (Grande desafio),Ampliação da integração de dados
Analista / Especialista / Engenheiro,TI / Infraestrutura,Mais de 10.000 funcionários,Saúde / Farmacêutico,Mais de 5 anos,5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),4 (Gerenciado),5 (Otimizado),5 (Otimizado),Arquitetura híbrida,Modelo híbrido,4 (Bem preparado),Crescimento significativo,Ofensivo (criação de novo valor),"Centralmente, por equipe dedicada",Não sei / não informado,5 (Extremamente importante),5 (Extremamente importante),4 (Muito importante),4 (Muito importante),3 (Neutro),5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),4 (Muito importante),5 (Extremamente importante),Concordo totalmente,Amplamente alinhado,4 (Desafiador),3 (Neutro),3 (Neutro),3 (Neutro),4 (Desafiador),Suporte a plataformas de IA Generativa
Analista / Especialista / Engenheiro,Dados e analytics,De 2.001 a 10.000 funcionários,Serviços financeiros / Seguros,Mais de 5 anos,5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),3 (Definido),4 (Gerenciado),5 (Otimizado),Data Warehouse tradicional,Predominantemente descentralizado,2 (Pouco preparado),Crescimento leve,Equilibrado (ofensivo + defensivo),"Centralmente, por equipe dedicada",De €2 milhões a €10 milhões,5 (Extremamente importante),5 (Extremamente importante),3 (Neutro),1 (Nada importante),3 (Neutro),4 (Muito importante),4 (Muito importante),4 (Muito importante),4 (Muito importante),4 (Muito importante),Neutro,Amplamente alinhado,3 (Neutro),3 (Neutro),3 (Neutro),3 (Neutro),3 (Neutro),Ampliação da integração de dados
Analista / Especialista / Engenheiro,Finanças,Até 500 funcionários,Serviços financeiros / Seguros,Mais de 5 anos,3 (Definido),3 (Definido),3 (Definido),4 (Gerenciado),4 (Gerenciado),4 (Gerenciado),4 (Gerenciado),4 (Gerenciado),4 (Gerenciado),Data Warehouse tradicional,Modelo federado,3 (Moderadamente preparado),Crescimento significativo,Equilibrado (ofensivo + defensivo),Por unidades de negócio,De €500 mil a €2 milhões,4 (Muito importante),5 (Extremamente importante),2 (Pouco importante),4 (Muito importante),3 (Neutro),3 (Neutro),4 (Muito importante),3 (Neutro),5 (Extremamente importante),5 (Extremamente importante),Concordo,Amplamente alinhado,3 (Neutro),3 (Neutro),3 (Neutro),4 (Desafiador),3 (Neutro),Ampliação da integração de dados
Gerente / Gerente sênior,Dados e analytics,Mais de 10.000 funcionários,Consultoria / Serviços profissionais,De 1 a 3 anos,5 (Otimizado),3 (Definido),3 (Definido),4 (Gerenciado),3 (Definido),3 (Definido),2 (Em desenvolvimento),3 (Definido),4 (Gerenciado),Data Mesh,Data mesh / orientado a domínios,3 (Moderadamente preparado),Crescimento significativo,Defensivo (redução de risco e custo),"Centralmente, por equipe dedicada",De €500 mil a €2 milhões,4 (Muito importante),5 (Extremamente importante),3 (Neutro),4 (Muito importante),5 (Extremamente importante),5 (Extremamente importante),4 (Muito importante),3 (Neutro),5 (Extremamente importante),5 (Extremamente importante),Neutro,Amplamente alinhado,4 (Desafiador),4 (Desafiador),2 (Pouco desafiador),3 (Neutro),3 (Neutro),Otimização dos custos de infraestrutura
Diretor / Head de departamento,Dados e analytics,Mais de 10.000 funcionários,Bens de consumo embalados [CPG],Mais de 5 anos,2 (Em desenvolvimento),2 (Em desenvolvimento),2 (Em desenvolvimento),3 (Definido),3 (Definido),3 (Definido),2 (Em desenvolvimento),1 (Nascente),3 (Definido),Data Lakehouse,Equipe de dados centralizada,3 (Moderadamente preparado),Crescimento leve,Ofensivo (criação de novo valor),"Centralmente, por equipe dedicada",De €500 mil a €2 milhões,4 (Muito importante),4 (Muito importante),3 (Neutro),5 (Extremamente importante),4 (Muito importante),4 (Muito importante),4 (Muito importante),3 (Neutro),2 (Pouco importante),3 (Neutro),Concordo totalmente,Amplamente alinhado,3 (Neutro),3 (Neutro),5 (Grande desafio),3 (Neutro),4 (Desafiador),Melhoria do autosserviço analítico
Gerente / Gerente sênior,TI / Infraestrutura,De 2.001 a 10.000 funcionários,Tecnologia / Software,De 3 a 5 anos,3 (Definido),1 (Nascente),2 (Em desenvolvimento),4 (Gerenciado),1 (Nascente),1 (Nascente),1 (Nascente),2 (Em desenvolvimento),5 (Otimizado),Data Mesh,Data mesh / orientado a domínios,1 (Não preparado),Crescimento leve,Equilibrado (ofensivo + defensivo),Comitê diretivo multifuncional,De €2 milhões a €10 milhões,4 (Muito importante),5 (Extremamente importante),,4 (Muito importante),5 (Extremamente importante),2 (Pouco importante),1 (Nada importante),5 (Extremamente importante),1 (Nada importante),1 (Nada importante),Discordo,Significativamente abaixo,1 (Não é um desafio),1 (Não é um desafio),4 (Desafiador),5 (Grande desafio),5 (Grande desafio),Fortalecimento da governança e da qualidade
Gerente / Gerente sênior,Dados e analytics,Mais de 10.000 funcionários,Saúde / Farmacêutico,De 3 a 5 anos,4 (Gerenciado),4 (Gerenciado),3 (Definido),3 (Definido),3 (Definido),2 (Em desenvolvimento),3 (Definido),2 (Em desenvolvimento),3 (Definido),Data Mesh,Modelo federado,3 (Moderadamente preparado),Estável,Ofensivo (criação de novo valor),"Ad hoc, por demandas urgentes",Mais de €10 milhões,5 (Extremamente importante),5 (Extremamente importante),4 (Muito importante),3 (Neutro),3 (Neutro),4 (Muito importante),3 (Neutro),4 (Muito importante),3 (Neutro),3 (Neutro),Neutro,Um pouco abaixo,3 (Neutro),4 (Desafiador),4 (Desafiador),3 (Neutro),5 (Grande desafio),Suporte a plataformas de IA Generativa
Analista / Especialista / Engenheiro,Finanças,De 501 a 2.000 funcionários,Bens de consumo embalados [CPG],De 3 a 5 anos,2 (Em desenvolvimento),2 (Em desenvolvimento),2 (Em desenvolvimento),3 (Definido),2 (Em desenvolvimento),2 (Em desenvolvimento),1 (Nascente),2 (Em desenvolvimento),2 (Em desenvolvimento),Data Lake,Data mesh / orientado a domínios,2 (Pouco preparado),Estável,Equilibrado (ofensivo + defensivo),"Ad hoc, por demandas urgentes",De €500 mil a €2 milhões,4 (Muito importante),4 (Muito importante),3 (Neutro),2 (Pouco importante),4 (Muito importante),4 (Muito importante),3 (Neutro),4 (Muito importante),3 (Neutro),4 (Muito importante),Discordo,Significativamente abaixo,4 (Desafiador),4 (Desafiador),3 (Neutro),3 (Neutro),4 (Desafiador),Suporte a plataformas de IA Generativa
Diretor / Head de departamento,Dados e analytics,Mais de 10.000 funcionários,Manufatura / Industrial,De 1 a 3 anos,3 (Definido),4 (Gerenciado),2 (Em desenvolvimento),4 (Gerenciado),3 (Definido),4 (Gerenciado),5 (Otimizado),3 (Definido),4 (Gerenciado),Data Mesh,Data mesh / orientado a domínios,3 (Moderadamente preparado),Crescimento leve,Equilibrado (ofensivo + defensivo),Por unidades de negócio,Não sei / não informado,4 (Muito importante),3 (Neutro),4 (Muito importante),4 (Muito importante),3 (Neutro),2 (Pouco importante),2 (Pouco importante),3 (Neutro),2 (Pouco importante),4 (Muito importante),Concordo,Amplamente alinhado,,,,,,
Analista / Especialista / Engenheiro,Dados e analytics,Mais de 10.000 funcionários,Saúde / Farmacêutico,Mais de 5 anos,5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),5 (Otimizado),4 (Gerenciado),4 (Gerenciado),5 (Otimizado),5 (Otimizado),Arquitetura híbrida,Modelo híbrido,4 (Bem preparado),Crescimento significativo,Equilibrado (ofensivo + defensivo),"Ad hoc, por demandas urgentes",Mais de €10 milhões,5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),5 (Extremamente importante),Concordo totalmente,Amplamente alinhado,5 (Grande desafio),5 (Grande desafio),5 (Grande desafio),5 (Grande desafio),5 (Grande desafio),Fortalecimento da governança e da qualidade
Analista / Especialista / Engenheiro,Dados e analytics,Mais de 10.000 funcionários,Bens de consumo embalados [CPG],Mais de 5 anos,2 (Em desenvolvimento),1 (Nascente),2 (Em desenvolvimento),4 (Gerenciado),2 (Em desenvolvimento),2 (Em desenvolvimento),1 (Nascente),1 (Nascente),2 (Em desenvolvimento),Data Lakehouse,Equipe de dados centralizada,2 (Pouco preparado),Crescimento leve,Equilibrado (ofensivo + defensivo),"Ad hoc, por demandas urgentes",De €500 mil a €2 milhões,4 (Muito importante),5 (Extremamente importante),2 (Pouco importante),5 (Extremamente importante),3 (Neutro),3 (Neutro),4 (Muito importante),5 (Extremamente importante),2 (Pouco importante),2 (Pouco importante),Concordo,Um pouco abaixo,2 (Pouco desafiador),5 (Grande desafio),4 (Desafiador),4 (Desafiador),5 (Grande desafio),Fortalecimento da governança e da qualidade
